value_eth,gas_price_gwei,gas_used,from_address_age_days,to_contract_age_days,tx_frequency_last_hour,is_flash_loan_pattern,label
45.6963,52.84,173198,13,11,6,0,0
7.857,22.62,158903,1144,1069,5,0,0
14.7453,14.54,43600,164,663,4,0,0
2.4482,22.43,196682,576,1467,1,0,0
9.864,29.78,103934,564,448,3,0,0
10.2048,22.06,238331,1159,1340,5,0,0
3162.9457,209.69,706792,0,3,36,1,1
12.9287,24.13,170336,534,1215,5,0,0
24.8475,62.93,241947,25,25,8,0,0
876.3321,292.01,669272,4,6,96,1,1
5.5865,36.71,171450,311,1114,3,0,0
12.1996,33.45,238306,1108,221,4,0,0
12.2528,25.37,51772,515,459,5,0,0
9.5956,37.7,36036,183,1404,4,0,0
3.4006,33.8,23434,46,1454,3,0,0
0.9515,39.28,152027,1127,63,5,0,0
467.5119,334.3,690509,10,7,105,0,1
12.173,23.51,194982,341,1044,1,0,0
5.0906,25.87,130049,224,670,4,0,0
12.8717,44.49,199074,225,307,4,0,0
1.6304,40.53,246075,993,485,2,0,0
4.732,38.03,204691,698,681,4,0,0
1.2455,33.26,191108,368,136,4,0,0
13.7916,28.59,35910,1070,194,2,0,0
537.5056,199.26,2007796,15,5,120,1,1
4543.7818,299.24,380214,7,3,108,1,1
1963.2434,227.77,2289762,4,3,103,1,1
3.934,19.11,137987,469,1283,3,0,0
14.9719,26.74,119782,672,384,4,0,0
8.4292,21.17,143282,280,577,4,0,0
13.7882,42.57,66412,1166,371,4,0,0
3.9367,35.94,165619,905,1178,1,0,0
3.5897,23.4,245398,871,119,3,0,0
5.1095,15.03,246833,683,737,4,0,0
1.7477,37.04,247731,1083,32,5,0,0
11.8831,18.29,150504,83,769,5,0,0
49.8575,48.48,82551,22,14,9,0,0
3.6279,24.22,166536,522,1444,4,0,0
7.0463,25.42,69329,135,547,4,0,0
1.1667,39.55,47513,1069,1135,5,0,0
9.1039,21.28,136811,935,1413,2,0,0
10.0786,20.5,103883,178,49,4,0,0
270.1696,234.23,2467689,4,1,111,1,1
6.4696,40.89,211711,779,855,3,0,0
4.6196,12.03,169729,191,205,4,0,0
0.4769,44.95,243114,852,903,1,0,0
5.2254,39.59,182837,383,1409,3,0,0
13.1056,16.59,220674,1174,474,4,0,0
14.5234,43.22,237056,961,217,2,0,0
39.5196,73.43,168746,9,28,7,0,0
10.0261,21.77,150579,695,402,4,0,0
1.5166,15.82,99503,89,124,3,0,0
5.4467,44.33,117294,1145,1350,3,0,0
13.1294,36.79,29445,888,1289,1,0,0
4.0585,38.29,162078,1020,982,4,0,0
12.2461,42.1,35656,479,1209,4,0,0
14.5137,44.53,196070,741,1483,1,0,0
3.0619,32.2,90201,1065,1030,3,0,0
9.6954,11.37,206498,926,929,5,0,0
2839.2551,326.41,1707744,2,3,60,1,1
0.1056,24.35,82078,1139,739,1,0,0
5.0264,21.54,167266,821,611,3,0,0
10.7836,36.58,249689,1138,103,5,0,0
378.1959,311.48,1994911,10,2,107,0,1
14.0334,29.99,144907,527,998,4,0,0
7.3356,12.89,29089,481,628,1,0,0
9.1578,24.99,182520,315,453,2,0,0
10.9396,15.72,120471,582,1340,5,0,0
12.3814,31.81,181181,273,293,1,0,0
9.6455,39.06,200485,981,1454,4,0,0
2.1053,42.6,104500,362,834,5,0,0
6.4465,37.69,85955,597,1350,1,0,0
3498.446,330.79,1796634,7,2,63,1,1
6.7885,36.18,86497,223,976,1,0,0
14.959,16.3,222226,1156,85,4,0,0
0.6908,23.83,178109,142,45,2,0,0
7.0261,18.8,166024,53,1423,1,0,0
3.3555,28.05,33039,851,171,4,0,0
14.531,30.27,163133,154,672,1,0,0
0.878,13.02,134897,267,958,5,0,0
4.9866,13.51,242522,931,234,5,0,0
4.3603,23.45,182317,886,538,2,0,0
10.3936,32.74,244285,702,1411,5,0,0
2.5315,26.01,215646,1044,1155,5,0,0
5.5317,33.58,130193,660,1439,1,0,0
5.6289,15.09,160242,873,1189,2,0,0
5.7093,34.63,152140,1174,1398,3,0,0
10.8205,37.11,120664,332,1424,2,0,0
10.3684,15.22,30444,786,1222,5,0,0
1.4062,44.03,187419,763,159,5,0,0
11.3266,13.98,133699,257,610,5,0,0
0.9559,37.17,140977,105,630,2,0,0
10.0849,20.96,83540,655,269,2,0,0
4.5064,15.51,207007,386,770,5,0,0
13.8238,22.29,68554,323,1189,4,0,0
2.9984,10.71,60946,518,288,4,0,0
13.0041,16.36,89198,806,700,2,0,0
2720.1938,93.12,501160,3,0,21,1,1
9.2816,40.16,172349,423,1472,1,0,0
4.0097,32.43,50242,631,920,2,0,0
0.8149,25.3,240853,185,727,5,0,0
3095.7676,252.7,736669,15,2,57,1,1
1196.4732,244.25,1581190,8,6,63,1,1
7.2852,22.03,199926,129,124,1,0,0
11.128,35.92,52311,55,1479,2,0,0
2068.4275,186.86,1690386,7,0,110,1,1
16.9084,53.76,54103,25,25,6,0,0
40.4118,70.12,173023,26,25,12,0,0
5.1117,40.81,204811,595,1168,1,0,0
0.3363,18.91,21790,476,1214,1,0,0
3292.7779,218.59,337320,15,2,97,1,1
7.2023,29.62,229510,590,619,1,0,0
1.5087,28.82,153614,573,301,3,0,0
45.823,62.27,146037,5,21,8,0,0
6.2712,14.03,26467,695,381,5,0,0
1.1119,19.38,120614,345,827,3,0,0
13.8627,25.16,210905,838,1046,1,0,0
1.0506,37.07,113050,1073,848,5,0,0
147.3944,117.37,1015180,10,5,71,1,1
13.4336,28.79,188295,204,253,2,0,0
5.8331,30.87,171681,815,896,2,0,0
11.4245,33.67,149308,321,1212,3,0,0
14.2957,28.31,226255,560,371,3,0,0
4194.9709,266.27,2305904,13,2,29,1,1
14.3586,21.78,45312,808,228,3,0,0
0.4035,42.52,238438,577,89,2,0,0
4345.3275,237.57,598700,15,3,79,1,1
9.3796,33.14,72857,900,265,5,0,0
7.0573,32.25,118858,549,63,3,0,0
4.6681,10.48,127952,220,490,1,0,0
4.5548,41.81,76524,419,270,4,0,0
6.6387,20.6,93004,145,750,5,0,0
3.2773,34.48,222037,785,373,5,0,0
12.3153,42.51,99453,362,1184,2,0,0
12.8645,15.05,142379,148,1181,4,0,0
9.3936,24.95,150924,126,735,4,0,0
3.4855,24.18,69352,411,1341,4,0,0
14.7587,18.54,66731,1160,357,3,0,0
11.497,14.59,119754,345,362,2,0,0
8.6962,33.84,168978,691,1314,3,0,0
0.5737,22.91,96255,187,1350,1,0,0
2160.3156,319.45,1858949,8,4,74,1,1
6.0216,12.05,120345,34,829,3,0,0
2793.3469,212.56,528609,11,0,69,1,1
12.1089,35.54,161568,285,805,1,0,0
1.5375,37.04,243899,277,1189,1,0,0
11.7309,22.57,163742,1022,734,5,0,0
0.9358,29.17,153510,444,1202,5,0,0
4806.5499,208.14,1766999,11,2,48,1,1
3.7977,15.4,131920,802,181,4,0,0
9.1587,15.74,113061,466,1316,2,0,0
13.4567,38.94,156077,701,207,4,0,0
2660.5539,193.29,2038297,4,2,87,1,1
13.2476,25.74,133604,826,39,2,0,0
0.1892,39.06,79271,297,435,4,0,0
14.311,20.57,210499,53,565,3,0,0
14.2511,41.2,181603,1063,903,5,0,0
828.4068,303.14,528866,0,2,79,1,1
2.3011,15.6,199384,894,1251,1,0,0
65.2523,53.03,2482335,32,11,14,1,1
5.6076,41.49,139354,277,537,2,0,0
3257.2503,203.32,1541607,8,7,21,1,1
